totalempreendimentos;DscClasseConsumo;MdaPotenciaInstaladaKW;SigUF
3;Comercial;108,00;SC
3;Comercial;108,00;SE
5;Comercial;108,00;SP
9;Comercial;108,00;TO
1;Comercial;1080,00;CE
1;Comercial;1080,00;PR
1;Comercial;1080,00;RS
1;Comercial;108,05;DF
1;Comercial;10,81;SP
1;Comercial;10,83;BA
1;Comercial;108,30;CE
1;Comercial;10,84;PR
1;Comercial;10,84;SP
1;Comercial;10,85;PR
2;Comercial;10,85;RS
2;Comercial;108,54;SP
1;Comercial;108,75;MT
1;Comercial;10,88;AM
3;Comercial;10,88;BA
1;Comercial;10,88;CE
3;Comercial;10,88;GO
3;Comercial;10,88;MG
1;Comercial;10,88;MS
2;Comercial;10,88;PB
1;Comercial;10,88;PR
1;Comercial;10,88;RJ
2;Comercial;10,88;RN
1;Comercial;10,88;RO
10;Comercial;10,88;RS
3;Comercial;10,88;SC
1;Comercial;10,88;SP
2;Comercial;10,89;AL
2;Comercial;10,89;BA
1;Comercial;10,89;CE
1;Comercial;10,89;GO
1;Comercial;10,89;MG
2;Comercial;10,89;MS
2;Comercial;10,89;PB
2;Comercial;10,89;RJ
3;Comercial;10,89;RN
11;Comercial;10,89;RS
2;Comercial;10,89;SC
14;Comercial;10,89;SP
1;Comercial;1,09;BA
3;Comercial;1,09;PR
1;Comercial;1,09;SP
1;Comercial;10,90;AL
5;Comercial;10,90;BA
3;Comercial;10,90;MG
2;Comercial;10,90;PB
3;Comercial;10,90;PE
5;Comercial;10,90;PR
1;Comercial;10,90;RN
1;Comercial;10,90;RO
6;Comercial;10,90;RS
1;Comercial;10,90;SC
6;Comercial;10,90;SP
1;Comercial;10,90;TO
1;Comercial;109,00;ES
1;Comercial;109,00;PI
1;Comercial;109,00;RS
1;Comercial;109,00;SC
1;Comercial;10,91;PR
1;Comercial;109,14;CE
1;Comercial;10,92;AC
3;Comercial;10,92;BA
1;Comercial;10,92;GO
1;Comercial;10,92;MG
1;Comercial;10,92;MT
1;Comercial;10,92;PA
1;Comercial;10,92;PE
1;Comercial;10,92;PR
1;Comercial;10,92;RJ
4;Comercial;10,92;RN
5;Comercial;10,92;RS
4;Comercial;10,92;SC
1;Comercial;109,20;MA
2;Comercial;10,93;RS
1;Comercial;109,34;DF
1;Comercial;10,94;GO
1;Comercial;10,95;AC
2;Comercial;10,95;BA
1;Comercial;10,95;GO
1;Comercial;10,95;MS
1;Comercial;10,95;PR
2;Comercial;10,95;RS
2;Comercial;10,95;SC
1;Comercial;10,95;TO
1;Comercial;109,56;PE
1;Comercial;10,98;MG
1;Comercial;109,88;RS
1;Comercial;109,89;CE
6;Comercial;,11;SP
1;Comercial;1,10;GO
2;Comercial;1,10;MG
4;Comercial;1,10;PE
1;Comercial;1,10;RN
2;Comercial;1,10;SC
5;Comercial;1,10;SP
5;Comercial;11,00;AL
6;Comercial;11,00;AM
2;Comercial;11,00;AP
49;Comercial;11,00;BA
16;Comercial;11,00;CE
2;Comercial;11,00;DF
22;Comercial;11,00;ES
16;Comercial;11,00;GO
8;Comercial;11,00;MA
113;Comercial;11,00;MG
50;Comercial;11,00;MS
41;Comercial;11,00;MT
20;Comercial;11,00;PA
10;Comercial;11,00;PB
29;Comercial;11,00;PE
14;Comercial;11,00;PI
95;Comercial;11,00;PR
24;Comercial;11,00;RJ
17;Comercial;11,00;RN
10;Comercial;11,00;RO
1;Comercial;11,00;RR
84;Comercial;11,00;RS
16;Comercial;11,00;SC
5;Comercial;11,00;SE
125;Comercial;11,00;SP
10;Comercial;11,00;TO
5;Comercial;110,00;AL
10;Comercial;110,00;BA
19;Comercial;110,00;CE
4;Comercial;110,00;DF
11;Comercial;110,00;ES
25;Comercial;110,00;GO
7;Comercial;110,00;MA
17;Comercial;110,00;MG
10;Comercial;110,00;MS
15;Comercial;110,00;MT
9;Comercial;110,00;PA
18;Comercial;110,00;PB
25;Comercial;110,00;PE
6;Comercial;110,00;PI
42;Comercial;110,00;PR
10;Comercial;110,00;RJ
18;Comercial;110,00;RN
6;Comercial;110,00;RO
6;Comercial;110,00;RS
5;Comercial;110,00;SC
1;Comercial;110,00;SE
4;Comercial;110,00;SP
